position_start_x,position_start_y,position_end_x,position_end_y,type
3.1843999,36.7159471,3.1843998,36.7158508
attitude,pitch,yaw,roll,lon,lat
11.66,-0.3183700740337372,2.2236454486846924,-0.0010702827712520957,3.1857425,36.715129
11.72,-0.32084304094314575,2.2193856239318848,0.0013881998602300882,3.1857866,36.7151021
11.77,-0.31632786989212036,2.2255771160125732,-0.0026500753592699766,3.1858309,36.7150752
11.82,-0.3191136419773102,2.2186708450317383,0.004860591143369675,3.1858753,36.7150483
11.88,-0.3184243142604828,2.2198235988616943,0.0017925164429470897,3.1859195,36.7150212
11.93,-0.3183252811431885,2.2267069816589355,-0.0034543692599982023,3.1859638,36.714994
11.99,-0.17199309170246124,2.590087652206421,-0.03981245309114456,3.1860051,36.7149675
12.0,-0.041735224425792694,-2.877164125442505,-0.1342211812734604,3.1860376,36.7149466
12.0,0.02271350845694542,-2.2097201347351074,-0.03335961326956749,3.1860632,36.7149314
11.99,-0.05191316828131676,-1.7371159791946411,0.04093068838119507,3.1860783,36.7149236
11.99,-0.09722228348255157,-1.8196264505386353,-0.0035009454004466534,3.1860813,36.7149207
12.0,-0.11767645925283432,-1.8069688081741333,0.007290894631296396,3.1860757,36.7149178
12.01,-0.18648503720760345,-1.8122164011001587,0.008294859901070595,3.1860632,36.7149149
12.02,-0.24756038188934326,-1.8126763105392456,0.007593283895403147,3.1860419,36.7149109
12.05,-0.2556200623512268,-1.811536431312561,0.010140602476894855,3.1860111,36.7149053
12.07,-0.27503442764282227,-1.8114229440689087,0.010120130144059658,3.1859744,36.714899
12.1,-0.29319196939468384,-1.8105119466781616,0.009119999594986439,3.1859333,36.7148917
12.13,-0.3068607449531555,-1.8091140985488892,0.004940028768032789,3.1858883,36.7148836
12.17,-0.30276864767074585,-1.817268967628479,0.010235941037535667,3.1858403,36.7148747
12.2,-0.3117368221282959,-1.8043245077133179,0.006059775594621897,3.1857907,36.7148654
12.23,-0.31508979201316833,-1.81643545627594,0.009378431364893913,3.1857397,36.7148559
12.27,-0.3160041570663452,-1.805335521697998,0.003420916385948658,3.1856875,36.7148461
12.3,-0.31357863545417786,-1.814132809638977,0.005971836857497692,3.1856345,36.7148362
12.33,-0.31563398241996765,-1.812201976776123,0.003690029727295041,3.1855813,36.714826
12.37,-0.31877535581588745,-1.80950927734375,0.0018798679811879992,3.1855279,36.7148157
12.4,-0.3164386749267578,-1.8134337663650513,0.004318599589169025,3.1854741,36.7148052
12.43,-0.31769901514053345,-1.8130375146865845,0.0011195362312719226,3.1854204,36.7147947
12.47,-0.31685885787010193,-1.8129101991653442,0.0012259422801434994,3.1853666,36.7147839
12.5,-0.31838828325271606,-1.810683250427246,0.00030111687374301255,3.1853128,36.714773
12.53,-0.3193046450614929,-1.8115099668502808,0.009249815717339516,3.185259,36.7147619
12.57,-0.3191841244697571,-1.8135684728622437,0.005004876758903265,3.185205,36.7147511
12.6,-0.3181225657463074,-1.8139772415161133,0.0105731301009655,3.1851509,36.7147402
12.63,-0.3195733428001404,-1.8084335327148438,0.0019207021687179804,3.1850967,36.7147297
12.66,-0.3177221119403839,-1.8089395761489868,0.006161573342978954,3.1850426,36.714719
12.7,-0.31976667046546936,-1.8151872158050537,0.00908857211470604,3.1849886,36.7147085
12.73,-0.3209093511104584,-1.8082854747772217,0.006544206291437149,3.1849344,36.7146981
12.76,-0.3206692337989807,-1.8158268928527832,0.00832570344209671,3.1848802,36.7146876
