position_start_x,position_start_y,position_end_x,position_end_y,type
attitude,pitch,yaw,roll,lon,lat
10.02,-0.3225838541984558,2.3250672817230225,0.0016311055514961481,3.0905636,36.5058981
10.02,-0.31938281655311584,2.3194150924682617,0.00997956097126007,3.0906044,36.5058676
10.02,-0.32215550541877747,2.319038152694702,0.008576689288020134,3.090645,36.5058369
10.02,-0.32205793261528015,2.326343536376953,0.0009048120700754225,3.0906857,36.5058061
10.02,-0.3216363489627838,2.323259115219116,0.003250526962801814,3.0907061,36.5057908
10.02,-0.31930217146873474,2.326594829559326,0.004832282196730375,3.0907471,36.5057601
10.02,-0.31752610206604004,2.322587490081787,0.0057134246453642845,3.0907881,36.5057296
10.02,-0.31870409846305847,2.3221940994262695,0.008144846186041832,3.0908288,36.5056991
10.02,-0.31630128622055054,2.3205316066741943,0.008897392079234123,3.0908694,36.5056687
10.01,-0.3190355598926544,2.321584701538086,0.006618603598326445,3.0909099,36.5056383
10.01,-0.3205644488334656,2.318819522857666,0.011522030457854271,3.0909707,36.5055928
10.01,-0.32078850269317627,2.3253936767578125,0.005710911937057972,3.0910113,36.5055623
10.01,-0.3209145665168762,2.3206887245178223,0.00939727108925581,3.0910519,36.5055317
10.01,-0.31818875670433044,2.3207321166992188,0.007359624374657869,3.0910926,36.5055011
10.01,-0.3205755650997162,2.32560658454895,0.006766252685338259,3.0911333,36.5054705
10.01,-0.319923996925354,2.3251688480377197,0.008691745810210705,3.0911741,36.50544
10.01,-0.3212904632091522,2.3270812034606934,0.009170779958367348,3.0912147,36.5054095
10.01,-0.3218264579772949,2.3184375762939453,0.010589287616312504,3.0912554,36.5053787
10.01,-0.3192864656448364,2.3214995861053467,0.007077336777001619,3.0912961,36.5053479
10.01,-0.31926652789115906,2.321932077407837,0.008472786284983158,3.091337,36.5053171
10.01,-0.31775039434432983,2.3202948570251465,0.009058588184416294,3.0913779,36.5052864
10.01,-0.31914058327674866,2.321760654449463,0.008767697028815746,3.0914187,36.5052558
10.01,-0.31932470202445984,2.324769973754883,0.0062253340147435665,3.0914595,36.5052251
10.01,-0.31881189346313477,2.326244831085205,0.009329942986369133,3.0915004,36.5051945
10.01,-0.32004618644714355,2.318394899368286,0.010847884230315685,3.0915413,36.5051639
10.02,-0.32032036781311035,2.326200008392334,0.005965659860521555,3.0915821,36.5051332
10.02,-0.31653502583503723,2.320295810699463,0.009290830232203007,3.0916231,36.5051026
10.02,-0.3181408643722534,2.3219246864318848,0.01296473853290081,3.0916641,36.5050721
10.03,-0.31872615218162537,2.315056085586548,0.013248581439256668,3.091705,36.5050415
10.03,-0.31939074397087097,2.32450008392334,0.009113471955060959,3.0917457,36.5050108
10.04,-0.3182480037212372,2.3210842609405518,0.012099913321435452,3.0917866,36.5049802
10.04,-0.3208588659763336,2.3295936584472656,0.010798015631735325,3.0918273,36.5049496
10.04,-0.3161909282207489,2.320685863494873,0.010596249252557755,3.0918682,36.5049189
10.04,-0.32062283158302307,2.320949077606201,0.015810921788215637,3.0919089,36.5048882
10.04,-0.3190557062625885,2.325979471206665,0.005760497413575649,3.0919494,36.5048575
10.05,-0.31949684023857117,2.3252201080322266,0.008372114971280098,3.0919902,36.5048269
10.05,-0.32022470235824585,2.318457841873169,0.013353107497096062,3.0920311,36.5047962
10.05,-0.316214919090271,2.324814558029175,0.009012531489133835,3.0920721,36.5047655
10.05,-0.3201136887073517,2.3207249641418457,0.011875592172145844,3.092113,36.5047349
10.05,-0.3181685507297516,2.32025146484375,0.014907997101545334,3.0921538,36.5047044
10.05,-0.3169384300708771,2.325904130935669,0.008301625028252602,3.0921946,36.5046738
10.05,-0.3206555247306824,2.3195226192474365,0.012245372869074345,3.0922353,36.5046434
10.04,-0.32184213399887085,2.3235385417938232,0.012199564836919308,3.0922761,36.5046128
10.04,-0.3226599395275116,2.323315382003784,0.012252549640834332,3.0923169,36.504582
10.04,-0.31843051314353943,2.327181577682495,0.00945776142179966,3.0923579,36.5045511
10.04,-0.31973350048065186,2.3170833587646484,0.013286172412335873,3.0923988,36.5045203
10.03,-0.31890639662742615,2.319063663482666,0.01612166315317154,3.0924398,36.5044896
10.03,-0.31834977865219116,2.3260855674743652,0.0088045010343194,3.0924807,36.5044588
10.03,-0.3187919855117798,2.318817377090454,0.016667505726218224,3.0925215,36.5044282
10.03,-0.31930914521217346,2.3257815837860107,0.014521230012178421,3.0925621,36.5043975
10.03,-0.3200547397136688,2.3225996494293213,0.010500208474695683,3.0926026,36.5043668
